Country/Region,Province/State,Lat,Long,TotalConfirmed,TotalDeaths,TotalRecovered,TotalPopulation,
Afghanistan,NA,33.93911,67.709953,40073,1485,33516,38041754,
Albania,NA,41.1533,20.1683,16501,443,9957,2854191,
Algeria,NA,28.0339,1.6596,53998,1841,37856,43053054,
Andorra,NA,42.5063,1.5218,3377,59,2057,77142,
Angola,NA,-11.2027,17.8739,7222,234,3012,31825295,
Antigua and Barbuda,NA,17.0608,-61.7964,112,3,100,97118,
Argentina,NA,-38.4161,-63.6167,965609,25723,778501,44938712,
Armenia,NA,40.0691,45.0382,61460,1056,47541,2957731,
Australia,Victoria,-37.8136,144.9631,20317,816,19287,25364307,
Australia,Queensland,-27.4698,153.0251,1164,6,1154,25364307,
Australia,Northern Territory,-12.4634,130.8456,33,0,33,25364307,
Australia,Australian Capital Territory,-35.4735,149.0124,113,3,110,25364307,
Australia,South Australia,-34.9285,138.6007,479,4,471,25364307,
Australia,Western Australia,-31.9505,115.8605,709,9,683,25364307,
Australia,New South Wales,-33.8688,151.2093,4333,53,3142,25364307,
Australia,Tasmania,-42.8821,147.3272,230,13,217,25364307,
Austria,NA,47.5162,14.5501,61387,882,47618,8877067,
Azerbaijan,NA,40.1431,47.5769,43789,621,39800,10023318,
Bahamas,NA,25.025885,-78.035889,5517,114,3201,399482,
Bahrain,NA,26.0275,50.55,77325,292,73421,1641172,
Bangladesh,NA,23.685,90.3563,386086,5623,300738,163046161,
Barbados,NA,13.1939,-59.5432,219,7,195,287025,
Belarus,NA,53.7098,27.9534,86392,921,78990,9466856,
Belgium,NA,50.8333,4.469936,202151,10359,20867,11484055,
Belize,NA,17.1899,-88.4976,2728,43,1626,390353,
Benin,NA,9.3077,2.3158,2496,41,2330,11801151,
Bhutan,NA,27.5142,90.4336,316,0,298,763092,
Bolivia,NA,-16.2902,-63.5887,139562,8439,103896,11513100,
Bosnia and Herzegovina,NA,43.9159,17.6791,32845,980,24603,3301000,
Botswana,NA,-22.3285,24.6849,5242,20,905,2303697,
Brazil,NA,-14.235,-51.9253,5200300,153214,4526393,211049527,
Brunei,NA,4.5353,114.7277,147,3,143,459500,
Bulgaria,NA,42.7339,25.4858,28505,958,16875,6975761,
Burkina Faso,NA,12.2383,-1.5616,2343,65,1718,20321378,
Burma,NA,21.9162,95.956,33488,799,15477,54045420,
Burundi,NA,-3.3731,29.9189,531,1,497,11530580,
Cabo Verde,NA,16.5388,-23.0418,7526,82,6425,549935,
Cambodia,NA,11.55,104.9167,283,0,280,16486542,
Cameroon,NA,3.848,11.5021,21441,423,20117,25876380,
Canada,Manitoba,53.7609,-98.8139,3173,38,NA,37589262,
Canada,Diamond Princess,0,0,0,1,NA,37589262,
Canada,Ontario,51.2538,-85.3232,65730,3089,NA,37589262,
Canada,Quebec,52.9399,-73.5491,91018,6018,NA,37589262,
Canada,Alberta,53.9333,-116.5765,21775,288,NA,37589262,
Canada,Prince Edward Island,46.5107,-63.4168,63,0,NA,37589262,
Canada,Newfoundland and Labrador,53.1355,-57.6604,287,4,NA,37589262,
Canada,New Brunswick,46.5653,-66.4619,297,2,NA,37589262,
Canada,British Columbia,53.7267,-127.6476,11189,251,NA,37589262,
Canada,Nova Scotia,44.682,-63.7443,1093,65,NA,37589262,
Canada,Yukon,64.2823,-135,15,0,NA,37589262,
Canada,Saskatchewan,52.9399,-106.4509,2270,25,NA,37589262,
Canada,Grand Princess,0,0,13,0,NA,37589262,
Canada,Northwest Territories,64.8255,-124.8457,5,0,NA,37589262,
Central African Republic,NA,6.6111,20.9394,4855,62,1924,4745185,
Chad,NA,15.4542,18.7322,1361,93,1138,15946876,
Chile,NA,-35.6751,-71.543,488190,13529,461097,18952038,
China,Heilongjiang,47.862,127.7615,948,13,935,1397715000,
China,Hebei,39.549,116.1306,368,6,NA,1397715000,
China,Hainan,19.1959,109.7453,171,6,165,1397715000,
China,Tianjin,39.3054,117.323,251,3,240,1397715000,
China,Qinghai,35.7452,95.9956,18,0,18,1397715000,
China,Fujian,26.0789,117.9874,417,1,406,1397715000,
China,Hong Kong,22.3,114.2,5220,105,4951,1397715000,
China,Macau,22.1667,113.55,46,0,46,1397715000,
China,Anhui,31.8257,117.2264,991,6,985,1397715000,
China,Inner Mongolia,44.0935,113.9448,275,1,263,1397715000,
China,Liaoning,41.2956,122.6085,280,2,270,1397715000,
China,Beijing,40.1824,116.4142,937,9,927,1397715000,
China,Guizhou,26.8154,106.8748,147,2,145,1397715000,
China,Sichuan,30.6171,102.7103,724,3,686,1397715000,
China,Hunan,27.6104,111.7088,1019,4,1015,1397715000,
China,Shanxi,37.5777,112.2922,208,0,204,1397715000,
China,Henan,37.8957,114.9042,1281,22,NA,1397715000,
China,Ningxia,37.2692,106.1655,75,0,75,1397715000,
China,Hubei,30.9756,112.2707,68139,4512,63627,1397715000,
China,Gansu,35.7518,104.2861,170,2,168,1397715000,
China,Jilin,43.6661,126.1923,157,2,155,1397715000,
China,Zhejiang,29.1832,120.0934,1283,1,1279,1397715000,
China,Shaanxi,35.1917,108.8701,434,3,402,1397715000,
China,Guangxi,23.8298,108.7881,260,2,256,1397715000,
China,Tibet,31.6927,88.0924,1,0,1,1397715000,
China,Chongqing,30.0572,107.874,586,6,578,1397715000,
China,Yunnan,24.974,101.487,211,2,200,1397715000,
China,Guangdong,23.3417,113.4244,1877,8,1832,1397715000,
China,Shanghai,31.202,121.4491,1080,7,997,1397715000,
China,Shandong,36.3427,118.1498,845,7,824,1397715000,
China,Jiangxi,27.614,115.7221,935,1,934,1397715000,
China,Xinjiang,41.1129,85.2401,902,3,899,1397715000,
China,Jiangsu,32.9711,119.455,669,0,665,1397715000,
Colombia,NA,4.5709,-74.2973,945354,28616,837001,50339443,
Comoros,NA,-11.6455,43.3333,502,7,485,850886,
Congo (Brazzaville),NA,-0.228,15.8277,5156,92,3887,86000000,
Congo (Kinshasa),NA,-4.0383,21.7587,10999,301,10342,86000000,
Costa Rica,NA,9.7489,-83.7534,94348,1168,58269,5047561,
Cote d'Ivoire,NA,7.54,-5.5471,20275,121,19953,25716544,
Croatia,NA,45.1,15.2,23665,345,19087,4067500,
Cuba,NA,21.521757,-77.781167,6118,124,5702,11333483,
Cyprus,NA,35.1264,33.4299,2379,25,1444,1198575,
Czechia,NA,49.8175,15.473,160112,1283,66093,10650000,
Denmark,Greenland,71.7069,-42.6043,16,0,14,5818553,
Denmark,NA,56.2639,9.5018,34441,677,28551,5818553,
Denmark,Faroe Islands,61.8926,-6.9118,482,0,471,5818553,
Djibouti,NA,11.8251,42.5903,5449,61,5372,973560,
Dominica,NA,15.415,-61.371,33,0,29,71808,
Dominican Republic,NA,18.7357,-70.1627,120450,2192,96883,10738958,
Ecuador,NA,-1.8312,-78.1834,151659,12357,128134,17373662,
Egypt,NA,26.820553,30.802498,105159,6099,98089,99210000,
El Salvador,NA,13.7942,-88.8965,31265,912,26542,6453553,
Equatorial Guinea,NA,1.6508,10.2679,5068,83,4954,1355986,
Eritrea,NA,15.1794,39.7823,422,0,376,5320000,
Estonia,NA,58.5953,25.0136,4017,68,3137,1326590,
Eswatini,NA,-26.5225,31.4659,5746,115,5392,1148130,
Ethiopia,NA,9.145,40.4897,87834,1337,41628,112078730,
Fiji,NA,-17.7134,178.065,32,2,30,889953,
Finland,NA,61.92411,25.748151,13133,351,9100,5520314,
France,St Martin,18.0708,-63.0501,531,8,380,67059887,
France,Saint Pierre and Miquelon,46.8852,-56.3159,16,0,12,67059887,
France,French Guiana,3.9339,-53.1258,10239,69,9955,67059887,
France,French Polynesia,-17.6797,149.4068,3797,14,2844,67059887,
France,Martinique,14.6415,-61.0242,2257,24,98,67059887,
France,Saint Barthelemy,17.9,-62.8333,72,0,55,67059887,
